Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HGT
1,Tariq Abdul-Wahad\abdulta01,SG,27,TOT,24,12,441,4.5,12,0.374,0.1,0.2,0.5,4.4,11.8,0.372,2,2.7,0.727,3.3,3.5,6.9,2,1.6,0.8,2.2,4.6,11,1.98
2,Shareef Abdur-Rahim\abdursh01,PF,25,ATL,77,77,2980,7.2,15.7,0.461,0.3,0.8,0.3,7,14.8,0.47,5.1,6.3,0.801,2.4,6,8.4,2.9,1.2,1,3,2.6,19.8,2.06
3,Courtney Alexander\alexaco02,SG,24,WAS,56,28,1325,6.1,12.9,0.47,0.1,0.5,0.278,5.9,12.4,0.478,2.7,3.3,0.81,1.2,2.9,4,2.3,1,0.2,1.6,3.1,14.9,1.96
4,Victor Alexander\alexavi01,C,32,DET,15,0,97,6.7,18.9,0.353,0,0.7,0,6.7,18.2,0.367,1.5,3,0.5,2.6,8.2,10.8,2.2,0,0.4,1.9,2.2,14.8,2.06
5,Malik Allen\allenma01,PF,23,MIA,12,2,161,4.9,11.4,0.431,0,0.2,0,4.9,11.2,0.44,1.8,2.2,0.8,3.4,5.1,8.5,1.1,0.7,1.8,0.4,3.6,11.6,2.08
6,Ray Allen*\allenra02,SG,26,MIL,69,67,2525,7.6,16.4,0.462,3.3,7.5,0.434,4.3,8.8,0.485,3.1,3.5,0.873,1.2,3.3,4.4,3.9,1.3,0.3,2.3,2.2,21.4,1.96
7,Rafer Alston\alstora01,PG,25,MIL,50,7,600,4,11.5,0.346,1.6,4.3,0.38,2.3,7.2,0.325,1.1,1.7,0.621,0.6,3.7,4.3,8.6,1.9,0.1,2.4,2.5,10.6,1.88
8,John Amaechi\amaecjo01,PF,31,UTA,54,0,586,3.3,10.2,0.325,0,0,,3.3,10.2,0.325,4.1,6.5,0.638,3.2,3.5,6.7,1.8,0.4,0.6,3.4,3.9,10.8,2.08
9,Chris Andersen\anderch01,C,23,DEN,24,1,262,3.4,10.2,0.338,0,0.5,0,3.4,9.6,0.357,3,3.8,0.786,5.2,5.2,10.4,1,1,3.8,1.8,4.8,9.9,2.08
10,Derek Anderson\anderde01,SG,27,POR,70,27,1860,4.8,11.8,0.404,1.6,4.4,0.373,3.1,7.4,0.422,3.4,4,0.856,0.9,2.7,3.7,4.2,1.3,0.2,1.7,2.2,14.7,1.96
11,Kenny Anderson\anderke01,PG,31,BOS,76,76,2430,4.6,10.6,0.436,0.1,0.5,0.273,4.5,10.1,0.444,1.5,2,0.742,0.8,3.2,4.1,6,2.1,0.1,1.8,3.1,10.8,1.83
12,Nick Anderson\anderni01,SG,34,MEM,15,0,219,3.5,12.5,0.276,2.1,7.9,0.271,1.3,4.6,0.286,0.8,1.5,0.556,0.2,5.3,5.4,2.3,1,1,2.3,2.8,9.9,1.98
13,Shandon Anderson\andersh01,SG,28,NYK,82,6,1596,3.4,8.4,0.399,0.9,3.2,0.277,2.5,5.2,0.474,1.7,2.4,0.692,1.3,4.3,5.6,1.7,1.1,0.3,2.2,3,9.3,1.98
14,Greg Anthony\anthogr01,PG,34,TOT,60,38,1514,4.4,11.3,0.385,1.1,3.9,0.294,3.2,7.4,0.433,1.4,2.2,0.659,0.5,2.6,3.1,6.7,1.8,0.1,2.2,2.7,11.3,1.83
15,Gilbert Arenas\arenagi01,PG,20,GSW,47,30,1155,5.4,12,0.453,1.2,3.5,0.345,4.2,8.4,0.498,3.9,5,0.775,1.3,2.8,4.1,5.4,2.2,0.3,3,3.6,15.9,1.93
16,Brandon Armstrong\armstbr01,SG,21,NJN,35,0,196,5,15.6,0.318,0.9,3.1,0.294,4,12.5,0.324,0.9,1.8,0.5,1.8,1.1,2.9,1.5,1.3,0.2,1.5,4.8,11.8,1.96
17,Darrell Armstrong\armstda01,PG,33,ORL,82,79,2730,4.6,10.9,0.419,1.8,5.2,0.349,2.7,5.7,0.484,2.4,2.7,0.888,1.1,3.1,4.2,6,2.1,0.1,2.3,2.2,13.4,1.83
18,Carlos Arroyo\arroyca01,PG,22,TOT,37,1,371,4.8,10.8,0.441,0,0.2,0,4.8,10.6,0.45,1.3,1.7,0.722,1.2,2.7,3.9,6.8,1.1,0.1,2.2,2.9,10.8,1.88
